1001.000	2.000	1.000	1.000	32.000	NaN	NaN	NaN	NaN	NaN	65.000	NaN	NaN	NaN	NaN	NaN	
1002.000	2.000	1.000	1.000	33.000	NaN	NaN	NaN	NaN	NaN	110.000	NaN	NaN	NaN	NaN	NaN	
1003.000	2.000	1.000	1.000	12.000	NaN	NaN	NaN	NaN	NaN	145.000	NaN	NaN	NaN	NaN	NaN	
1004.000	2.000	1.000	1.000	97.000	NaN	NaN	NaN	NaN	NaN	306.000	NaN	NaN	NaN	NaN	NaN	
1005.000	2.000	1.000	1.000	50.000	NaN	NaN	NaN	NaN	NaN	154.000	NaN	NaN	NaN	NaN	NaN	
1006.000	2.000	1.000	1.000	120.000	NaN	NaN	NaN	NaN	NaN	173.000	NaN	NaN	NaN	NaN	NaN	
1007.000	2.000	1.000	1.000	159.000	NaN	NaN	NaN	NaN	NaN	268.000	NaN	NaN	NaN	NaN	NaN	
1008.000	2.000	1.000	1.000	118.000	NaN	NaN	NaN	NaN	NaN	85.000	NaN	NaN	NaN	NaN	NaN	
1009.000	2.000	1.000	1.000	112.000	NaN	NaN	NaN	NaN	NaN	176.000	NaN	NaN	NaN	NaN	NaN	
1010.000	2.000	1.000	1.000	132.000	NaN	NaN	NaN	NaN	NaN	162.000	NaN	NaN	NaN	NaN	NaN	
2001.000	2.000	2.000	1.000	144.000	177.000	NaN	NaN	NaN	NaN	331.000	248.037	NaN	NaN	NaN	NaN	
2002.000	2.000	2.000	1.000	70.000	70.000	NaN	NaN	NaN	NaN	276.000	122.839	NaN	NaN	NaN	NaN	
2003.000	2.000	2.000	1.000	91.000	124.000	NaN	NaN	NaN	NaN	342.000	44.411	NaN	NaN	NaN	NaN	
2004.000	2.000	2.000	1.000	66.000	41.000	NaN	NaN	NaN	NaN	70.000	198.431	NaN	NaN	NaN	NaN	
2005.000	2.000	2.000	1.000	7.000	48.000	NaN	NaN	NaN	NaN	29.000	79.203	NaN	NaN	NaN	NaN	
2006.000	2.000	2.000	2.000	30.000	18.000	NaN	NaN	NaN	NaN	80.000	204.771	NaN	NaN	NaN	NaN	
2007.000	2.000	2.000	2.000	96.000	6.000	NaN	NaN	NaN	NaN	209.000	42.517	NaN	NaN	NaN	NaN	
2008.000	2.000	2.000	1.000	8.000	125.000	NaN	NaN	NaN	NaN	160.000	73.679	NaN	NaN	NaN	NaN	
2009.000	2.000	2.000	1.000	151.000	158.000	NaN	NaN	NaN	NaN	34.000	149.473	NaN	NaN	NaN	NaN	
2010.000	2.000	2.000	1.000	143.000	126.000	NaN	NaN	NaN	NaN	118.000	293.929	NaN	NaN	NaN	NaN	
3001.000	2.000	3.000	2.000	111.000	3.000	159.000	NaN	NaN	NaN	287.000	174.310	3.035	NaN	NaN	NaN	
3002.000	2.000	3.000	1.000	91.000	73.000	69.000	NaN	NaN	NaN	7.000	133.188	322.266	NaN	NaN	NaN	
3003.000	2.000	3.000	3.000	123.000	111.000	77.000	NaN	NaN	NaN	312.000	164.483	7.121	NaN	NaN	NaN	
3004.000	2.000	3.000	3.000	36.000	34.000	124.000	NaN	NaN	NaN	48.000	331.419	243.390	NaN	NaN	NaN	
3005.000	2.000	3.000	3.000	172.000	155.000	38.000	NaN	NaN	NaN	359.000	217.317	94.541	NaN	NaN	NaN	
3006.000	2.000	3.000	1.000	142.000	39.000	123.000	NaN	NaN	NaN	154.000	197.908	292.269	NaN	NaN	NaN	
3007.000	2.000	3.000	2.000	87.000	114.000	0.000	NaN	NaN	NaN	98.000	325.076	220.719	NaN	NaN	NaN	
3008.000	2.000	3.000	3.000	77.000	125.000	119.000	NaN	NaN	NaN	129.000	192.736	8.609	NaN	NaN	NaN	
3009.000	2.000	3.000	2.000	147.000	4.000	17.000	NaN	NaN	NaN	77.000	256.658	352.318	NaN	NaN	NaN	
3010.000	2.000	3.000	2.000	133.000	60.000	50.000	NaN	NaN	NaN	167.000	256.776	12.877	NaN	NaN	NaN	
6001.000	2.000	6.000	1.000	20.000	3.000	59.000	150.000	174.000	84.000	39.000	220.732	129.693	285.298	84.444	356.689	
6002.000	2.000	6.000	3.000	70.000	155.000	74.000	21.000	34.000	103.000	351.000	141.429	261.188	44.151	99.292	192.749	
6003.000	2.000	6.000	1.000	118.000	106.000	11.000	124.000	158.000	18.000	151.000	346.697	98.231	289.303	42.406	239.865	
6004.000	2.000	6.000	5.000	165.000	52.000	128.000	114.000	78.000	54.000	119.000	254.931	12.524	54.718	182.727	333.849	
6005.000	2.000	6.000	1.000	14.000	64.000	86.000	19.000	157.000	163.000	306.000	179.301	126.964	238.542	83.042	16.091	
6006.000	2.000	6.000	4.000	98.000	164.000	72.000	68.000	10.000	50.000	59.000	281.773	211.835	346.859	112.848	170.303	
6007.000	2.000	6.000	2.000	27.000	167.000	114.000	140.000	147.000	139.000	33.000	268.746	140.772	195.861	338.693	99.905	
6008.000	2.000	6.000	5.000	142.000	45.000	99.000	88.000	129.000	23.000	215.000	148.346	260.603	24.220	327.294	77.121	
6009.000	2.000	6.000	5.000	82.000	15.000	116.000	24.000	121.000	137.000	77.000	21.438	315.184	182.823	260.740	128.940	
6010.000	2.000	6.000	2.000	84.000	171.000	103.000	15.000	107.000	36.000	18.000	82.379	203.678	246.075	126.230	290.830	
